#Rank,University,Town
337,Universitas Dharmawangsa,Medan
338,Universitas Satya Negara Indonesia,Jakarta
339,Universitas Atma Jaya Makassar,Makassar
340,Universitas Buddhi Dharma,Tangerang
341,Universitas Widya Dharma,Klaten
342,Universitas Timor,Kefamenanu
343,Universitas Batam,Batam
344,Universitas Wiraraja,Sumenep
345,Universitas Sari Mutiara Indonesia,Medan
346,Universitas Tunas Pembangunan,Surakarta
347,Universitas Dhyana Pura,Badung ...
348,Universitas Islam Raden Rahmat,Malang
349,Universitas Muhammadiyah Kudus,Kudus
350,Universitas Madura,Pamekasan
351,Universitas Mulia,Balikpapan ...
352,Universitas Panca Marga,Probolinggo
353,Universitas Islam Indragiri,Indragiri Hilir
354,Universitas Pandanaran,Semarang
355,Universitas Tanri Abeng,Jakarta
356,Universitas Ubudiyah Indonesia,Banda Aceh
357,Universitas Flores,Ende
358,Universitas Bale Bandung,Bandung
359,Universitas Katolik Widya Mandala Madiun,Madiun
360,Universitas Dharma Andalas,Padang
361,Universitas Islam As-Syafiiyah,Jakarta
362,Universitas Tulungagung,Tulungagung
363,Universitas Andi Djemma,Palopo
364,Universitas Islam Madura Pamekasan,Pamekasan
365,Universitas Muhammadiyah Sorong,Sorong
366,Universitas Methodist Indonesia,Medan
367,Universitas Baiturrahmah,Padang ...
368,Universitas Sintuwu Maroso,Poso
369,Universitas Satyagama,Jakarta
370,Universitas Peradaban Bumiayu,Brebes
371,Universitas Nahdlatul Ulama Sunan Giri,Bojonegoro
372,Universitas Katolik Darma Cendika,Surabaya
373,Universitas PGRI Ronggolawe,Tuban
374,Universitas Katolik Widya Karya,Malang
375,Universitas Sahid Surakarta,Surakarta
376,Universitas Perjuangan Tasikmalaya,Tasikmalaya
377,Universitas Nurtanio,Bandung
